postcode,residents,households,single_person_households,multi_person_households,median_household_income,average_household_income,% low_income_household,% high_income_household,% owner_occupied_home,% rental_properties,average_house_value,house_value_class,supermarket_distance,caf�_distance,hotel_distance,restaurant_distance,trainstation_distance,amusement_park_distance,swimming_pool_distance,cinema_distance,museum_distance
1011,10015,6505,4165,2335,40-60 midden,38800,49%,20%,30%,70%,589000,€500000 tot €750000,"0,30","0,20","0,20","0,10","1,20","0,60","2,10","1,00","0,40"
1012,9115,6320,4250,2065,40-60 midden,33100,55%,14%,20%,80%,554000,€500000 tot €750000,"0,20","0,00","0,10","0,00","1,10","1,20","1,70","1,00","0,30"
1013,23020,13745,8525,5220,40-60 midden,34700,52%,17%,30%,70%,550000,€500000 tot €750000,"0,40","0,30","0,50","0,10","2,00","3,10","1,50","0,90","0,80"
1014,4950,1805,705,1105,60-100 boven midden tot hoog,60900,22%,49%,50%,50%,855000,€750000 of meer,"0,60","0,70","0,70","0,30","2,80","3,80","2,30","1,80","1,30"
1015,14965,9930,6515,3420,40-60 midden,40600,51%,20%,30%,70%,628000,€500000 tot €750000,"0,30","0,10","0,20","0,10","1,80","2,40","0,60","0,90","0,30"
1016,11355,7550,4925,2625,40-60 midden,45500,47%,22%,30%,70%,713000,€500000 tot €750000,"0,30","0,10","0,20","0,10","2,20","2,00","1,00","0,80","0,40"
1017,13550,8625,5360,3265,60-80 boven midden,56500,38%,28%,40%,60%,838000,€750000 of meer,"0,30","0,20","0,10","0,10","2,40","1,30","1,10","0,60","0,40"
1018,23430,13805,8505,5300,40-60 midden,37100,49%,20%,30%,70%,575000,€500000 tot €750000,"0,40","0,30","0,40","0,20","2,20","1,10","2,20","1,30","0,60"
1019,20630,10935,4990,5945,60-80 boven midden,43500,32%,31%,40%,60%,630000,€500000 tot €750000,"0,80","0,80","0,70","0,30","2,90","2,80","3,50","2,90","1,90"
1021,7040,3920,2205,1715,20-40 onder midden,25800,63%,8%,20%,80%,422000,€400000 tot €500000,"0,30","0,30","0,40","0,20","4,80","4,30","2,00","0,90","0,90"
1022,5160,2730,1565,1165,40-60 midden,34600,46%,25%,20%,80%,405000,€400000 tot €500000,"0,70","1,00","1,40","1,00","5,30","4,80","2,10","1,30","1,80"
1023,4610,2275,945,1330,20-60 onder midden tot midden,32300,51%,19%,30%,70%,522000,€500000 tot €750000,"0,90","0,60","1,70","0,30","6,00","5,60","2,50","2,10","2,30"
1024,14180,6240,2705,3535,20-40 onder midden,27600,52%,11%,30%,70%,401000,€400000 tot €500000,"0,50","0,60","2,40","0,60","6,90","6,40","3,20","1,90","3,00"
1025,16485,8635,4705,3930,20-40 onder midden,27700,56%,12%,30%,70%,408000,€400000 tot €500000,"0,60","0,70","1,10","0,60","5,50","5,00","1,90","1,00","1,90"
1026,545,210,55,160,60-80 boven midden,54700,21%,46%,80%,20%,918000,€750000 of meer,"2,20","4,00","2,60","2,20","7,80","7,70","6,50","5,80","6,10"
1027,540,265,120,145,60-80 boven midden,36200,42%,28%,70%,30%,905000,€750000 of meer,"2,20","3,00","3,60","2,20","8,50","8,00","4,80","3,40","4,70"
1028,610,245,70,175,60-80 boven midden,45400,20%,42%,80%,20%,917000,€750000 of meer,"4,20","5,60","1,90","2,00","9,60","9,50","8,00","7,00","7,60"
1031,9620,5285,2860,2420,20-40 onder midden,30100,58%,15%,20%,80%,466000,€400000 tot €500000,"0,40","0,30","0,50","0,20","5,00","4,50","1,60","1,90","0,60"
1032,6425,3155,1445,1710,20-40 onder midden,29400,55%,16%,30%,70%,458000,€400000 tot €500000,"0,70","0,40","0,80","0,30","5,00","4,50","0,70","2,10","1,30"
1033,14680,8065,4430,3630,20-40 onder midden,27600,56%,11%,20%,80%,382000,€350000 tot €400000,"1,00","1,40","1,50","0,40","6,50","6,90","3,20","4,60","3,20"
1034,14935,6815,3015,3800,20-40 onder midden,28000,54%,13%,30%,70%,415000,€400000 tot €500000,"0,70","1,10","2,30","0,80","6,50","6,00","2,00","2,50","2,60"
1035,11025,4635,1590,3045,40-60 midden,33500,42%,22%,50%,50%,498000,€400000 tot €500000,"0,70","1,20","2,20","0,60","6,60","7,80","4,10","5,00","4,30"
1036,2755,915,205,710,40-80 midden tot boven midden,36500,22%,38%,60%,40%,683000,€500000 tot €750000,"0,20","1,20","1,50","1,40","6,90","6,40","2,70","4,10","2,60"
1037,145,65,20,40,60-80 boven midden,,0%,0%,,,,,"2,20","2,60","2,20","1,50","5,00","6,70","3,70","4,20","4,50"
1041,5,5,5,0,onclassificeerbaar,,0%,0%,30%,70%,804000,€750000 of meer,"4,00","3,50","3,90","3,50","4,00","6,40","6,40","6,10","4,80"
1042,10,10,5,5,00-40 laag tot onder midden,,0%,0%,,,207000,€200000 tot €250000,"1,70","1,90","1,70","1,20","1,70","4,40","4,40","4,70","3,60"
1043,1185,840,705,135,20-40 onder midden,21400,82%,2%,0%,100%,199000,€150000 tot €200000,"0,80","1,00","0,10","0,20","0,80","2,70","2,80","3,10","3,20"
1046,125,115,110,5,00-20 laag,,0%,0%,0%,100%,368000,€350000 tot €400000,"2,90","2,60","3,80","0,50","4,40","1,50","4,60","7,10","4,90"
1047,30,10,25,10,20-60 onder midden tot midden,,0%,0%,,,524000,€500000 tot €750000,"4,10","3,60","4,30","1,20","5,00","1,90","5,90","8,10","6,10"
1051,13170,8015,4745,3265,40-60 midden,35100,48%,18%,30%,70%,488000,€400000 tot €500000,"0,50","0,30","0,70","0,10","2,80","3,00","1,00","0,40","1,30"
1052,11980,7430,4520,2910,40-60 midden,35000,51%,18%,30%,70%,526000,€500000 tot €750000,"0,20","0,20","0,50","0,10","2,60","2,50","0,70","0,70","0,90"
1053,16490,10520,6640,3880,40-60 midden,34600,52%,17%,20%,70%,516000,€500000 tot €750000,"0,20","0,10","0,20","0,10","3,30","2,30","1,60","0,60","1,40"
1054,17300,10560,6170,4390,40-60 midden,44400,43%,26%,30%,70%,686000,€500000 tot €750000,"0,20","0,20","0,20","0,10","3,30","2,50","1,90","1,10","1,40"
1055,20940,11965,6675,5295,20-60 onder midden tot midden,30800,52%,14%,30%,70%,430000,€400000 tot €500000,"0,30","0,30","0,50","0,20","2,50","1,50","1,50","1,90","2,40"
1056,20265,10405,5705,4700,40-60 midden,32600,50%,17%,30%,70%,496000,€400000 tot €500000,"0,30","0,20","0,70","0,20","3,20","1,00","0,90","1,50","1,80"
1057,17295,10070,5665,4405,40-60 midden,31700,52%,16%,20%,80%,501000,€500000 tot €750000,"0,30","0,20","0,60","0,20","3,70","1,40","1,10","1,30","2,10"
1058,15750,8940,4610,4325,40-60 midden,40000,42%,25%,30%,60%,586000,€500000 tot €750000,"0,40","0,30","0,50","0,20","3,20","2,30","2,10","2,00","2,60"
1059,7110,4370,2675,1690,40-60 midden,39200,44%,23%,30%,70%,464000,€400000 tot €500000,"0,30","0,30","0,60","0,20","3,00","3,40","3,20","3,10","2,80"
1060,9925,4180,1395,2785,60-80 boven midden,37100,32%,33%,70%,30%,547000,€500000 tot €750000,"0,90","1,60","1,80","0,80","7,50","2,00","3,50","7,10","2,10"
1061,17000,8425,4400,4025,20-40 onder midden,29700,46%,18%,20%,80%,442000,€400000 tot €500000,"0,50","0,60","0,50","0,40","3,20","1,40","1,30","2,70","1,50"
1062,15585,9585,6175,3410,20-60 onder midden tot midden,29800,53%,13%,10%,90%,348000,€300000 tot €350000,"0,40","0,60","0,40","0,20","4,00","2,80","2,50","3,10","2,80"
1063,12455,6130,3205,2925,20-40 onder midden,25600,58%,10%,30%,70%,342000,€300000 tot €350000,"0,50","0,40","0,50","0,30","2,70","2,50","1,70","3,80","1,40"
1064,16815,8305,4330,3975,20-40 onder midden,27100,57%,12%,20%,80%,358000,€350000 tot €400000,"0,50","0,60","0,70","0,30","3,50","2,30","1,10","3,80","0,90"
1065,12135,6130,3245,2885,20-40 onder midden,26100,59%,10%,20%,80%,394000,€350000 tot €400000,"0,50","0,40","0,90","0,20","4,70","3,10","2,80","3,60","2,10"
1066,19135,8935,3670,5265,40-60 midden,34600,37%,26%,40%,60%,522000,€500000 tot €750000,"0,80","1,20","1,20","0,50","5,40","3,60","3,50","5,50","2,20"
1067,20425,8375,3415,4965,20-40 onder midden,27300,51%,14%,30%,70%,410000,€400000 tot €500000,"0,40","0,50","1,70","0,50","3,80","2,90","2,20","5,50","2,40"
1068,18330,9430,5155,4275,20-40 onder midden,27300,59%,11%,20%,80%,356000,€350000 tot €400000,"0,40","0,50","0,80","0,30","5,50","2,10","2,10","5,50","2,50"
1069,26255,12115,5680,6430,20-40 onder midden,28100,52%,14%,30%,70%,387000,€350000 tot €400000,"0,50","0,80","1,10","0,40","6,70","1,30","3,00","6,50","2,20"
1071,12730,6870,3550,3320,60-80 boven midden,73100,31%,39%,40%,60%,1199000,€750000 of meer,"0,40","0,30","0,20","0,10","2,20","2,90","1,00","1,10","0,50"
1072,13835,9075,5780,3295,40-60 midden,36300,51%,18%,20%,70%,532000,€500000 tot €750000,"0,30","0,10","0,20","0,10","2,40","2,50","0,80","0,60","1,00"
1073,13395,8425,5155,3270,40-60 midden,34100,54%,16%,20%,80%,526000,€500000 tot €750000,"0,30","0,20","0,40","0,10","2,80","2,30","1,30","0,70","1,50"
